ID,Symbol,baseMean,log2FoldChange,padj,type
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,2210403K04Rik,8715.222,2.02,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,2310008H04Rik,5647.185,-1.627,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Adrb3,1988.988,-2.426,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Anxa5,21712.537,-1.318,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,C1qtnf7,2408.159,1.72,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Calr,87066.622,-1.285,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Chpf2,17362.117,1.947,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Cidec,7773.704,-2.604,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Cirbp,8657.295,2.574,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,D4Wsu53e,5940.669,-1.78,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Eif4a2,19737.686,-1.461,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ggcx,3084.76,-1.505,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Gpx8,11924.379,-1.02,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hnrnpc,14384.742,-1.184,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hsp90b1,81178.393,-1.201,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hspa5,68724.346,-1.557,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hyou1,10281.151,-1.395,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ift80,2013.808,-1.734,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Magt1,4141.263,-1.93,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Mlec,33797.956,-0.963,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Nfya,3315.577,-1.338,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Npepps,13518.961,-1.18,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,P4ha1,23635.082,-1.186,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,P4ha2,22356.666,-1.121,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pdia6,33852.822,-1.26,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pfkl,26202.124,-1.202,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rbm3,15887.632,1.951,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Serpinh1,65705.266,-1.366,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc1a3,4605.575,-1.43,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tatdn2,3487.619,1.605,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Alg5,3706.95,1.262,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Strn4,6879.726,1.103,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pex6,3453.601,-1.392,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Rap1gds1,6178.902,-1.15,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Snrpb,9032.792,0.849,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Banp,1131.61,-2.048,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dazap2,18866.98,0.677,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dzip3,1422.092,-1.817,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Riok3,14944.524,0.962,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,1190005F20Rik,1887.438,-1.657,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Sh3d19,6238.245,-1.196,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Sdf2l1,1457.133,-1.962,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Aldh7a1,6820.105,-1.398,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Hsph1,4492.954,-1.734,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Bzw1,26020.695,1.087,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Slc39a10,2795.232,-1.348,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Dclk1,14091.464,-1.32,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Bzw2,7186.981,1.111,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Col5a3,5267.299,-1.387,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ak4,3842.15,-1.646,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Pex16,3048.6,1.123,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Tep1,4537.5,-1.182,0,RNA
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Ddx17,25996.915,-1.145,0,RNA
