ID,Experiment type,Species,Comparison (Treatment),Comparison (Control),Experiment ID,Experimental design,GEO accession number,Link to publication,Contact,Raw and processed file storage location
MacLab_RNAseq_mouse_invitro_cold_twelve_vs_zero,Bulk RNA-seq,Mouse,Twelve days,Zero days,E1,"Mesenchymal stem cells (MSCs) were isolated from C57BL/6J mice. Mature adipocytes were exposed to 31°C for 0, 1 or 12 days. For the cells cold exposed for 12 days, the MSCs were cultured at 37°C prior to and for the first four days of adipogenesis, after which cells were moved to 31°C for 12 days. The cells cold exposed for 1 day were moved to 31°C 15 days after adipocyte differentiation. The cells cold exposed for 0 days were cultured at 37°C consistently. All cells were harvested 16 days after adipocyte differentiation.",GSE159451,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000988#sec038,morimori@umich.edu,TBD
MacLab_RNAseq_mouse_invitro_cold_one_vs_zero,Bulk RNA-seq,Mouse,One day,Zero days,E1,"Mesenchymal stem cells (MSCs) were isolated from C57BL/6J mice. Mature adipocytes were exposed to 31°C for 0, 1 or 12 days. For the cells cold exposed for 12 days, the MSCs were cultured at 37°C prior to and for the first four days of adipogenesis, after which cells were moved to 31°C for 12 days. The cells cold exposed for 1 day were moved to 31°C 15 days after adipocyte differentiation. The cells cold exposed for 0 days were cultured at 37°C consistently. All cells were harvested 16 days after adipocyte differentiation.",GSE159451,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000988#sec038,morimori@umich.edu,TBD
MacLab_RNAseq_mouse_invitro_cold_twelve_vs_one,Bulk RNA-seq,Mouse,Twelve days,One day,E1,"Mesenchymal stem cells (MSCs) were isolated from C57BL/6J mice. Mature adipocytes were exposed to 31°C for 0, 1 or 12 days. For the cells cold exposed for 12 days, the MSCs were cultured at 37°C prior to and for the first four days of adipogenesis, after which cells were moved to 31°C for 12 days. The cells cold exposed for 1 day were moved to 31°C 15 days after adipocyte differentiation. The cells cold exposed for 0 days were cultured at 37°C consistently. All cells were harvested 16 days after adipocyte differentiation.",GSE159451,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000988#sec038,morimori@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_cold_22_vs_29,Bulk RNA-seq,Mouse,22C,29C,E2,"Mesenchymal stem cells (MSCs) were isolated from C57BL/6J mice. Mature adipocytes were exposed to 31°C for 0, 1 or 12 days. For the cells cold exposed for 12 days, the MSCs were cultured at 37°C prior to and for the first four days of adipogenesis, after which cells were moved to 31°C for 12 days. The cells cold exposed for 1 day were moved to 31°C 15 days after adipocyte differentiation. The cells cold exposed for 0 days were cultured at 37°C consistently. All cells were harvested 16 days after adipocyte differentiation.",GSE159451,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000988#sec038,morimori@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_UCP1_KO_vs_WT,Bulk RNA-seq,Mouse,AAV8-UCP1 sgRNA,AAV8-Control sgRNA,E3,Mice expressing Cas9 were administered AAV8-UCP1 sgRNA to the brown adipose tissue for inducible knockout. Mice were housed at 22ºC for two weeks and then were sacrificed. Brown adipose tissue (BAT) was harvested and RNAseq was performed to determine transcriptional changes stemming from inducible UCP1 knockout.,GSE176453,https://www.jbc.org/article/S0021-9258(21)01209-6/fulltext,smroma@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D0.none.KO_vs_D0.none.con,Bulk RNA-seq,Mouse,"Day 0, β-cat−/−, no Wnt3a","Day 0, β-catfl/fl, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D0.wnt.KO_vs_D0.wnt.con,Bulk RNA-seq,Mouse,"Day 0, β-cat−/−, Wnt3a","Day 0, β-catfl/fl, Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D12.none.KO_v_D12.none.con,Bulk RNA-seq,Mouse,"Day 12, β-cat−/−, no Wnt3a","Day 12, β-catfl/fl, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D12.wnt.KO_vs_D12.wnt.con,Bulk RNA-seq,Mouse,"Day 12, β-cat−/−, Wnt3a","Day 12, β-catfl/fl, Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D0.wnt.con_vs_D0.none.con,Bulk RNA-seq,Mouse,"Day 0, β-catfl/fl, Wnt3a","Day 0, β-catfl/fl, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D0.wnt.KO_vs_D0.none.KO,Bulk RNA-seq,Mouse,"Day 0, β-cat−/−, Wnt3a","Day 0, β-cat−/−, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D12.wnt.con_vs_D12.none.con,Bulk RNA-seq,Mouse,"Day 12, β-catfl/fl, Wnt3a","Day 12, β-catfl/fl, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invivo_betacat_D12.wnt.KO_vs_D12.none.KO,Bulk RNA-seq,Mouse,"Day 12, β-cat−/−, Wnt3a","Day 12, β-cat−/−, no Wnt3a",E4,"Confluent β-catfl/fl and β-cat−/− preadipocytes and terminally-differentiated adipocytes were treated with 20 ng/ml recombinant Wnt3a (R&D Systems Inc., Minneapolis, MN, USA) or vehicle for 4 h prior to lysis and RNA isolation (n = 4 per group).",NA,https://pubmed.ncbi.nlm.nih.gov/32919095/,dpbagchi@umich.edu,TBD
MacLab_RNAseq_mouse_invitro_lmna.inducible_EMSCCRE_vs_EMSCGFP,Bulk RNA-seq,Mouse,CRE,GFP,E5,Inducible KO cell culture (LMNA FL/FL vs KO in eMSCs),NA,NA,cacorsa@gmail.com,TBD
MacLab_RNAseq_mouse_invitro_lmna.inducible_EMSCCRE_vs_EMSCU,Bulk RNA-seq,Mouse,CRE,Untreated,E5,Inducible KO cell culture (LMNA FL/FL vs KO in eMSCs),NA,NA,cacorsa@gmail.com,TBD
MacLab_RNAseq_mouse_invitro_lmna.inducible_EMSCGFP_vs_EMSCU,Bulk RNA-seq,Mouse,GFP,Untreated,E5,"Inducible KO cell culture (LMNA FL/FL vs KO in eMSCs), cultured eMSCs lacking Lmna ",NA,NA,cacorsa@gmail.com,TBD
MacLab_RNAseq_mouse_invivo_lmna.constitutive_AdipoKO_vs_Flox,Bulk RNA-seq,Mouse,KO,Flox,E6,psWAT from ad-specific KO of Lmna (constitutive KO 4wks age),NA,NA,cacorsa@gmail.com,TBD
MacLab_RNAseq_mouse_invivo_lmna.inducible_KO_vs_WT,Bulk RNA-seq,Mouse,LMNA KO,LMNA WT,E7,"pmWAT from ad-specific KO of Lmna, induced & 2wks post-tamoxifen",NA,NA,jmaung@umich.edu,TBD
